apec1.kT apec1.Abundanc apec1.norm
4.230312672140487784e+00 1.563336601973039641e-01 1.806088893034712761e+00
4.339915915012165115e+00 2.187130767435010725e-01 1.461118295969034087e+00
4.031591412146446451e+00 2.803139240789095377e-01 1.096883217134192012e+00
3.675896508512360050e+00 1.965642959016280777e-01 1.127390041301752133e+00
4.093547830794202369e+00 2.936368361997353515e-01 1.428241071868521228e+00
3.878547965326999414e+00 2.057322942199226734e-01 1.073364004794095106e+00
3.777781125416613150e+00 2.083870280252920759e-01 1.194440055764828923e+00
3.932245178607779224e+00 2.039450376089896044e-01 1.050638097523616477e+00
4.276557351479948643e+00 1.702854695723428069e-01 6.207671704826615011e-01
4.183460067980109720e+00 2.300616132970139949e-01 1.404189182933152313e+00
4.092733736220303342e+00 2.190199565981472141e-01 9.591564401716581312e-01
4.271777880382535031e+00 1.549067291335904373e-01 7.647095222203206255e-01
4.060113245416829386e+00 1.686279234985303133e-01 5.866878462299398578e-01
4.109642492513353673e+00 2.918869100242011405e-01 8.006391564074888390e-01
4.163070170333238451e+00 2.531544686192093718e-01 6.257907177598964754e-01
4.288688251476613367e+00 2.380399527715867103e-01 1.075949277131937443e+00
4.191733455994141266e+00 2.625841399817470112e-01 1.609360044812970347e+00
4.021299085500913861e+00 2.367099249369934155e-01 9.384249471928388653e-01
4.255710717966816325e+00 2.596931904211942643e-01 1.492873802313438691e+00
3.893822616229516864e+00 1.936079738595515853e-01 1.163074355958094053e+00
3.943428156967572651e+00 2.320757258152684743e-01 1.317583154594109907e+00
4.039944460651728519e+00 2.582510956090550147e-01 9.217661730589700175e-01
4.295461131489133777e+00 2.846106850349104378e-01 1.313708321925812328e+00
4.332511534265090170e+00 2.561227830958196505e-01 9.007158433773437833e-01
4.250314608238820568e+00 2.213083826470995663e-01 1.020129289509907444e+00
4.421927582045979577e+00 2.660873286090216228e-01 1.030445418768142662e+00
3.665100103714326263e+00 2.356548360293310718e-01 1.258666731753698365e+00
3.784895162146657999e+00 2.150898871984174288e-01 1.254307785798416397e+00
4.260280770017673468e+00 2.767341698332356215e-01 1.239487631280196345e+00
4.073399265781084466e+00 2.516241003250586639e-01 1.290643897709821353e+00
4.625975360319945828e+00 2.909278657362401876e-01 6.741675873462563695e-01
3.845228604160225938e+00 2.985687318850960281e-01 1.381164016941514028e+00
4.417412894809622514e+00 2.883414868344026938e-01 8.782055289411612176e-01
4.450759414715241391e+00 2.288576380141718603e-01 1.058509920399295812e+00
3.971666207702830853e+00 2.923330178044822314e-01 9.331765300638993343e-01
3.996477595524981385e+00 2.315362526268922583e-01 1.785367640388096255e+00
3.986010040432940826e+00 2.446851118262070302e-01 1.044213634167939553e+00
4.095816008939891617e+00 1.712216948481314338e-01 8.140855602703939153e-01
4.009623884129541516e+00 2.075193430815376328e-01 1.208671675834418924e+00
3.911820043679482772e+00 2.554313686452520105e-01 1.064282752266803467e+00
4.194497953546363789e+00 2.730855209342042400e-01 8.362630135753627014e-01
4.190843093361278804e+00 2.085489614366892452e-01 7.760022057211403146e-01
4.070213912164666326e+00 3.215142986973515971e-01 1.583985985160973442e+00
3.967725065158826059e+00 1.979857957595132500e-01 1.392909138327666385e+00
4.166975949309379423e+00 2.417994545548965701e-01 8.796890550239971907e-01
4.018487452350994360e+00 2.338184514580805562e-01 1.492873866274080363e+00
4.210342686332603002e+00 3.268154899419160042e-01 7.937967523748039600e-01
4.095933891303480401e+00 2.517730403569393149e-01 2.870730352113934902e-01
4.135011354901012126e+00 2.204934807068201219e-01 8.822725350852043125e-01
3.769087607348414970e+00 2.405133571533603076e-01 6.798458978985012502e-01
3.967725065158826059e+00 1.979857957595132500e-01 1.392909138327666385e+00
4.005775769308433709e+00 2.475942898293963523e-01 1.522942751557311070e+00
4.188544241909635701e+00 2.009348384299841916e-01 7.617114919230307812e-01
3.945283548528596196e+00 3.064402456583229517e-01 6.819032428626849995e-01
4.149221931560103549e+00 2.583005486307255461e-01 1.277443343680484844e+00
4.233546392899926403e+00 2.736846576392359953e-01 1.133859931703164570e+00
4.190843093361278804e+00 2.085489614366892452e-01 7.760022057211403146e-01
4.191733455994141266e+00 2.625841399817470112e-01 1.609360044812970347e+00
4.085377334660440951e+00 2.151225892259470418e-01 1.100920088486306181e+00
3.888034073219063025e+00 2.529255284867510944e-01 8.647640585073610442e-01
4.237360230302496866e+00 1.970828654250803003e-01 1.013222100084013810e+00
4.051559013705457346e+00 2.614202551914602823e-01 6.909612780118393749e-01
4.307538372047600816e+00 2.020908138754718142e-01 8.420050263379443845e-01
3.931007304621635168e+00 1.833348460928785340e-01 1.103454186531382275e+00
4.338561015120627751e+00 1.850712158501484628e-01 3.749245652379326055e-01
3.761062529094330920e+00 2.412301075558137553e-01 1.035858245531579680e+00
4.058671341235145391e+00 2.186338539170321338e-01 9.821533837706545311e-01
4.158010001235110664e+00 2.014805980855704226e-01 5.874581021069181785e-01
3.810000485274645410e+00 2.581218717316712263e-01 1.231016395437931621e+00
4.094276492623793118e+00 2.675641559020084381e-01 1.314967357598594955e+00
4.219824473486470495e+00 1.837927106531453136e-01 6.727066509622380286e-01
4.204479047480834453e+00 1.803622940252767870e-01 1.196042270459617418e+00
3.867295800808520312e+00 2.101512836536078566e-01 6.351276202918729741e-01
4.189645496038622241e+00 2.264652987727241162e-01 5.390934853591896614e-01
4.158010001235110664e+00 2.014805980855704226e-01 5.874581021069181785e-01
3.770123009019717752e+00 2.607632776601613855e-01 1.028170658832352702e+00
4.143451153238347118e+00 2.558406137134048297e-01 4.873322170851250856e-01
4.075514228816238926e+00 2.179570307760682890e-01 1.388335533123793430e+00
4.114704204839264357e+00 2.068085988211205151e-01 7.042638311105516857e-01
4.024935251323254803e+00 1.740039810640783835e-01 6.931442532927876155e-01
3.546849964806320088e+00 2.788765734663529172e-01 8.362231387192300414e-01
3.848160245114603306e+00 2.538739760863700790e-01 5.863989253403826263e-01
4.122976557629914218e+00 1.855500266573186230e-01 7.445731069790185730e-01
4.310266138115696144e+00 2.613980630579251785e-01 8.430627861993302830e-01
4.177701900383533840e+00 2.674355115930850957e-01 1.185317522129285761e+00
4.078710767267225812e+00 2.705427864835490692e-01 7.788689169728673090e-01
4.050232148347203243e+00 2.827940267976540856e-01 6.696368439101696435e-02
4.114884387357690798e+00 3.106904521413230702e-01 1.378803138313653642e+00
4.153802681225022830e+00 1.939983923155313705e-01 6.769805048743784415e-01
4.082240021642406624e+00 2.593271962833705313e-01 1.119274106582156758e+00
4.087868680066511828e+00 2.361874207430946782e-01 8.525817150401848732e-01
4.015616895949780663e+00 2.491737676629734444e-01 7.841950798479776497e-01
4.285073537397784627e+00 2.755024546942156927e-01 1.033884916818941457e+00
3.867523900370916312e+00 1.934559805435978885e-01 7.999420475408127729e-01
3.991790494753409302e+00 2.517851516578872850e-01 6.722314340975265035e-01
3.722011102070803990e+00 2.103978004724250672e-01 1.117352088167142377e+00
4.033039496822556025e+00 2.583324519628384941e-01 9.260477554724688698e-01
4.124572759656986776e+00 2.492326467145721536e-01 1.131089592752106965e+00
3.824360944462797729e+00 3.189227529078854650e-01 1.104817820308364062e+00
