logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.194336984594226010e+02 -4.254264127461138969e+02 1.834999999999999964e+00
-4.254264127461138969e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.154133620369640312e+02 -4.214085763236553248e+02 5.899999999999999689e-01
-4.213907444118251533e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.149660044204689484e+02 -4.209637187071602398e+02 1.510000000000000009e+00
-4.204614616200265118e+02 2.296025575349698311e+00 -7.499999999999999722e-03 4.000000000000000000e+02 -4.142200725900581801e+02 -4.202202868767494692e+02 3.049999999999999933e-01
-4.196404739635191845e+02 1.048048666490310810e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -4.095505607912272694e+02 -4.155532750779185562e+02 1.020000000000000018e+00
-4.155366282211085149e+02 2.153733697087215848e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -4.072233685483524255e+02 -4.132285828350437669e+02 1.580000000000000071e+00
-4.131337678153352044e+02 1.324530960671570723e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.054317533049216422e+02 -4.114394675916129813e+02 1.915000000000000036e+00
-4.112707990204625048e+02 1.394523959229747589e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.045896070759030181e+02 -4.105998213625943549e+02 9.300000000000000488e-01
-4.101869116700723907e+02 1.533255261305395134e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.036189173948743587e+02 -4.096316316815656933e+02 1.364999999999999991e+00
-4.091780677275198741e+02 1.533373075749586256e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.034732567717081793e+02 -4.094884710583995115e+02 1.729999999999999982e+00
-4.086281264764677417e+02 1.241246919628568701e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.033069120137250252e+02 -4.093246263004163552e+02 1.549999999999999989e-01
-4.082237776677083616e+02 1.046988806332983746e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -3.949952467113857892e+02 -4.010154609980771170e+02 2.149999999999999967e-01
-4.010147208695908034e+02 4.592878222530008436e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -3.947661960481220262e+02 -4.007889103348133517e+02 2.949999999999999845e-01
-4.002023081178583084e+02 1.280812710393023801e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.945140251128065074e+02 -4.005392393994978306e+02 1.549999999999999989e-01
-3.996635028602752868e+02 1.407586638791880285e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.923716904852734046e+02 -3.983994047719647256e+02 1.135000000000000009e+00
-3.981505981788732811e+02 6.306488090069714003e-01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.912746000035967313e+02 -3.973048142902880500e+02 9.499999999999999556e-01
-3.969476849140885406e+02 9.650254065643989465e-01 -4.000000000000000083e-02 4.000000000000000000e+02 -3.872774455715963313e+02 -3.933101598582876477e+02 1.114999999999999991e+00
-3.932841828050704294e+02 1.815969504256054412e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.870215889442324055e+02 -3.930568032309237196e+02 5.400000000000000355e-01
-3.924708970278902029e+02 2.056387848013977671e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.846105679325860933e+02 -3.906482822192774051e+02 3.300000000000000155e-01
-3.904984815831640503e+02 3.287041041769749761e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.838288513827007478e+02 -3.898690656693920573e+02 7.000000000000000666e-02
-3.894419023647805602e+02 1.264521177715574263e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -3.822360706273445317e+02 -3.882787849140358389e+02 8.000000000000000444e-01
-3.880068432558176710e+02 1.356269846989246464e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.797615439308959253e+02 -3.858067582175872303e+02 9.150000000000000355e-01
-3.857016833800989275e+02 1.934516743306208264e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.791379071659656006e+02 -3.851856214526569033e+02 2.800000000000000266e-01
-3.847175782255451963e+02 2.313882774069337067e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -3.712048184378189148e+02 -3.772550327245102153e+02 5.500000000000000444e-01
-3.772544586965942131e+02 2.767856634429109342e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -3.670070105578554376e+02 -3.730597248445467358e+02 8.449999999999999734e-01
-3.730447625854613420e+02 1.960041281001927871e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -3.645635665506643477e+02 -3.706187808373556436e+02 1.165000000000000036e+00
-3.705340801042775638e+02 2.352567312358171403e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -3.645206113821295730e+02 -3.705783256688208667e+02 2.949999999999999845e-01
-3.698628110171997605e+02 1.973215747769092365e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -3.630166842062910177e+02 -3.690768984929823091e+02 1.100000000000000006e-01
