weight logl apec1.kT apec1.Abundanc apec1.norm
2.408839235978011942e-180 -4.194336984594226010e+02 3.751365630556235509e+00 2.631110442096570301e-01 1.099451754617067500e+01
1.338850249812107588e-178 -4.154133620369640312e+02 4.096513398029085984e+00 2.853575393986630959e-01 1.075958064393309321e+01
2.088965233152502162e-178 -4.149660044204689484e+02 4.204554404682184554e+00 2.343107165785024704e-01 1.089513938213031707e+01
4.393387941145896788e-178 -4.142200725900581801e+02 4.435012307006222620e+00 2.526411483633220212e-01 1.076788641942772351e+01
4.673659028968288816e-176 -4.095505607912272694e+02 4.166763235252770592e+00 2.182639880283325506e-01 1.089788172935439370e+01
4.778130841818743294e-175 -4.072233685483524255e+02 3.975483610456512107e+00 2.481729509794090571e-01 1.082965817192764924e+01
2.859307844669368231e-174 -4.054317533049216422e+02 4.250244646375413993e+00 2.249182184904507109e-01 1.079356338513058056e+01
6.620863584073230153e-174 -4.045896070759030181e+02 3.955443171848553874e+00 2.043631423766257282e-01 1.096640743457396461e+01
1.743388093745906857e-173 -4.036189173948743587e+02 4.344600737475153629e+00 2.598123959403288996e-01 1.062967102350484083e+01
2.011721902816233039e-173 -4.034732567717081793e+02 3.812804759567879120e+00 2.590899319763198538e-01 1.079497410741037555e+01
2.369871611676468853e-173 -4.033069120137250252e+02 3.886627324101070702e+00 2.092875249745596300e-01 1.095780932133766861e+01
9.623863591121977700e-170 -3.949952467113857892e+02 4.152397407276092522e+00 1.958955597822696626e-01 1.079921393605824065e+01
1.207088636767928423e-169 -3.947661960481220262e+02 3.829309608219839678e+00 2.128872171773137922e-01 1.085713587492846344e+01
1.549422545666160810e-169 -3.945140251128065074e+02 4.261320905147646165e+00 3.160878266284384841e-01 1.036051970944550149e+01
1.316704264129977786e-168 -3.923716904852734046e+02 3.766523729977027557e+00 2.372327897467339242e-01 1.075467017594434616e+01
3.934258104762022319e-168 -3.912746000035967313e+02 4.095498013769589107e+00 2.245980472635119574e-01 1.067331610653398499e+01
2.136580326346140733e-166 -3.872774455715963313e+02 3.857674155350381717e+00 1.962046798506357770e-01 1.081442017292497759e+01
2.752647566336190301e-166 -3.870215889442324055e+02 3.704974910090687690e+00 2.037739597922074708e-01 1.083978569832164141e+01
3.060257670845601354e-165 -3.846105679325860933e+02 4.125796318297257237e+00 2.402958077487153954e-01 1.052449221086996545e+01
6.670639073546704175e-165 -3.838288513827007478e+02 4.014873562265063534e+00 2.098889673329153716e-01 1.065961725481540867e+01
3.272032432502408596e-164 -3.822360706273445317e+02 4.075366481545876773e+00 2.227588162308339892e-01 1.057181097597536024e+01
3.876190859913409638e-163 -3.797615439308959253e+02 4.378925839437755485e+00 1.943567479705162748e-01 1.053338875169168176e+01
7.213755570223393513e-163 -3.791379071659656006e+02 4.021254712515163199e+00 2.185108519555156725e-01 1.056614193347746067e+01
2.006191312999293832e-159 -3.712048184378189148e+02 4.353361038509037328e+00 2.491088612474217368e-01 1.025646628243116254e+01
1.331592706363955853e-157 -3.670070105578554376e+02 4.241915477077069951e+00 2.243835768357475835e-01 1.031116143715358646e+01
1.529184617415800107e-156 -3.645635665506643477e+02 3.851805247435777346e+00 2.296688560851714855e-01 1.039474256200738900e+01
1.592316432951559481e-156 -3.645206113821295730e+02 4.290346187563898184e+00 2.742782534990110266e-01 1.010713581234245240e+01
7.146459133281779742e-156 -3.630166842062910177e+02 4.077830909051300523e+00 2.067599450067002520e-01 1.037587806113730160e+01
1.994127999174171365e-155 -3.619880092595805081e+02 4.139410889070830102e+00 2.381589845303193620e-01 1.023571110921675675e+01
4.644047721266822391e-155 -3.611401297815434077e+02 4.097155589686892085e+00 2.491394322406328410e-01 1.020209135263874245e+01
5.071571346054548427e-152 -3.541418101424683869e+02 3.911884236233238443e+00 2.213461181368188146e-01 1.026576716409008760e+01
1.067563500481005817e-151 -3.533949967996676946e+02 4.346319506650491604e+00 1.764178865500669602e-01 1.024969148599715396e+01
7.838696242630943590e-151 -3.513988032242963868e+02 4.044102432447910012e+00 2.587496085730561224e-01 1.005858858520683974e+01
9.807042257111187609e-150 -3.488696899309799733e+02 4.089579050640372415e+00 2.366040578965544483e-01 1.008368885777451496e+01
5.968552542807761741e-149 -3.470612011203927523e+02 4.045056543642351343e+00 2.500777350443580960e-01 1.002928673570392348e+01
6.179247492850044870e-148 -3.447214239711204868e+02 3.845664522310035860e+00 1.788784483400157888e-01 1.031534741299947022e+01
3.545773714448545965e-146 -3.406691938929735670e+02 4.267431141828387453e+00 2.618749754099511939e-01 9.839323963617854218e+00
3.982583918880080862e-146 -3.405505194497873731e+02 4.334981855252171279e+00 2.491404871491969542e-01 9.857854542279117283e+00
8.513687399569032018e-146 -3.397882751335929470e+02 3.966185943177340523e+00 3.313109067152020804e-01 9.689582064695684949e+00
3.642823531945815754e-144 -3.360295210217471435e+02 3.695750736540893477e+00 2.478404631514636025e-01 9.994409736329719962e+00
3.959927707390231659e-144 -3.359435543288987560e+02 4.007629283777276896e+00 3.193670101637968717e-01 9.667465559529267338e+00
2.992747274505767171e-143 -3.339185032188449327e+02 3.944141319126161171e+00 2.016646612341532752e-01 1.004749092867557891e+01
1.207341596751696278e-142 -3.325211889971758410e+02 3.955465422045139512e+00 2.905822601444866815e-01 9.726672387523553454e+00
