weight logl apec1.kT apec1.Abundanc apec1.norm
2.408839235978011942e-180 -4.194336984594226010e+02 4.908829384972490661e-02 7.377143335389473311e-01 9.995015951064250004e-01
1.338850249812107588e-178 -4.154133620369640312e+02 5.699179413689218210e-01 8.789595772758322934e-01 9.781436949030084538e-01
2.088965233152502162e-178 -4.149660044204689484e+02 7.730661119103087175e-01 4.783323489064408296e-01 9.904672165573016329e-01
4.393387941145896788e-178 -4.142200725900581801e+02 9.756250694482474506e-01 6.499696386853922592e-01 9.788987654025202989e-01
4.673659028968288816e-176 -4.095505607912272694e+02 7.083668531463592766e-01 3.302755465023928805e-01 9.907165208503994069e-01
4.778130841818743294e-175 -4.072233685483524255e+02 3.207805425214372841e-01 6.095274743444318855e-01 9.845143792661499305e-01
2.859307844669368231e-174 -4.054317533049216422e+02 8.392120440919611513e-01 3.899002647892374496e-01 9.812330350118709799e-01
6.620863584073230153e-174 -4.045896070759030181e+02 2.837393466826193533e-01 2.199076771764625349e-01 9.969461304158150350e-01
1.743388093745906857e-173 -4.036189173948743587e+02 9.320824878412822256e-01 7.113082896219542484e-01 9.663337294095309948e-01
2.011721902816233039e-173 -4.034732567717081793e+02 9.208648195449331553e-02 7.053620569799600171e-01 9.813612824918523936e-01
2.369871611676468853e-173 -4.033069120137250252e+02 1.744769923169440240e-01 2.564221449323406121e-01 9.961644837579698430e-01
9.623863591121977700e-170 -3.949952467113857892e+02 6.816986348182126898e-01 1.646403322387492985e-01 9.817467214598399883e-01
1.207088636767928423e-169 -3.947661960481220262e+02 1.073936494986700296e-01 2.849864316855609259e-01 9.870123522662239690e-01
1.549422545666160810e-169 -3.945140251128065074e+02 8.531292232966901645e-01 9.717203769651775458e-01 9.418654281314091659e-01
1.316704264129977786e-168 -3.923716904852734046e+02 5.781533921909354223e-02 5.062767429636190197e-01 9.776972887222132869e-01
3.934258104762022319e-168 -3.912746000035967313e+02 5.678023318748185444e-01 3.869578100443429314e-01 9.703014642303623427e-01
