14:47:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:23 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:12:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:18:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:12 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [INFO] Sampling 400 live points from prior ...
15:20:58 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
15:20:58 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
15:20:58 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
15:20:58 [ultranest] [DEBUG] iteration=0, ncalls=401, logz=-inf, remainder_fraction=100.0000%, Lmin=-170596058731976488095055872.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=14, ncalls=415, logz=-139627315685337169762713600.00, remainder_fraction=100.0000%, Lmin=-137996926726198186599251968.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=27, ncalls=430, logz=-132313743256512871450804224.00, remainder_fraction=100.0000%, Lmin=-132133031375205452696518656.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=38, ncalls=446, logz=-129255309309949734010486784.00, remainder_fraction=100.0000%, Lmin=-129207865944199555568369664.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=40, ncalls=448, logz=-128597994751253772442271744.00, remainder_fraction=100.0000%, Lmin=-128508863398594012294152192.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=54, ncalls=464, logz=-122284469342514281550184448.00, remainder_fraction=100.0000%, Lmin=-121527158975758485786984448.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=64, ncalls=476, logz=-119758025919466708827897856.00, remainder_fraction=100.0000%, Lmin=-119699549159656618784194560.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=78, ncalls=492, logz=-115839334506610718475812864.00, remainder_fraction=100.0000%, Lmin=-115673847758640979623542784.00, Lmax=-203319228847737838501888.00
15:20:58 [ultranest] [DEBUG] iteration=80, ncalls=494, logz=-115263813135625525368193024.00, remainder_fraction=100.0000%, Lmin=-115080437655036794001948672.00, Lmax=-203319228847737838501888.00
15:20:59 [ultranest] [DEBUG] iteration=90, ncalls=504, logz=-111801684675207918960771072.00, remainder_fraction=100.0000%, Lmin=-111709304942707108495753216.00, Lmax=-203319228847737838501888.00
15:20:59 [ultranest] [DEBUG] iteration=103, ncalls=518, logz=-107370226776007012369039360.00, remainder_fraction=100.0000%, Lmin=-107336009584644420041441280.00, Lmax=-203319228847737838501888.00
15:20:59 [ultranest] [DEBUG] iteration=112, ncalls=534, logz=-105686749175867699407880192.00, remainder_fraction=100.0000%, Lmin=-105619323861417708241289216.00, Lmax=-203319228847737838501888.00
15:20:59 [ultranest] [DEBUG] iteration=120, ncalls=543, logz=-103289346265545147712274432.00, remainder_fraction=100.0000%, Lmin=-103279648442076220180398080.00, Lmax=-203319228847737838501888.00
