apec1.kT apec1.Abundanc apec1.norm
1.686833696841328445e+00 2.185487723726412257e-01 1.803939911185447720e+00
1.273862648399600284e+00 9.401370310727075186e-02 1.985641473039029048e+00
1.676728871063467574e+00 6.640197402976705243e-02 1.929452718680459755e+00
1.623710204901589238e+00 4.857469723778165549e-01 1.339045878794201894e+00
1.605501437867335124e+00 4.229643362113840732e-01 1.299855734448036593e+00
2.022608580921566812e+00 5.244047681205267208e-01 1.437493889218657062e+00
1.800282921305207395e+00 7.294017362908461477e-01 1.061748998278624123e+00
1.496593489634299390e+00 2.255409127535784597e-01 1.357548543548377395e+00
1.582027666342179284e+00 1.743451836834904456e-01 1.836505195482287744e+00
1.443120107744769953e+00 7.421556291218557588e-02 1.930243096349757881e+00
1.575460546821743968e+00 1.287182704388373511e-01 1.825715483115112114e+00
1.132008731172690963e+00 2.121754809235821410e-02 2.724673234072624073e+00
1.517137653688638066e+00 4.915060335427592908e-01 1.182224858735924755e+00
1.404653531051661242e+00 2.434191024964784678e-01 1.758598399449381455e+00
1.381683204525137709e+00 1.001658250415260742e-01 2.087866241421003632e+00
1.555872180322324105e+00 1.611890031340088569e-01 1.569715151999874658e+00
1.743286073205977171e+00 6.881280660652280279e-01 9.783216330870311284e-01
1.675152844365040750e+00 5.904817982987400349e-01 1.165964601001630685e+00
1.592252435454521109e+00 2.574487402548644721e-01 1.568649573818253540e+00
1.455733694434667713e+00 3.630150194704502287e-01 1.363895150729194095e+00
1.598225501803552717e+00 7.367718413146729928e-01 1.143778379642226728e+00
1.487210409312690329e+00 1.600279426067369171e-01 1.703389262523972603e+00
1.580140416906055334e+00 2.071116777664125386e-02 1.821735608423312502e+00
1.574387172550538283e+00 6.410416466934190094e-01 1.016498634970835591e+00
1.437284635956948220e+00 6.298438902823610963e-01 1.026751372473402313e+00
1.463944519950563627e+00 3.421284769105995549e-01 1.642196464887300422e+00
1.173555516656699549e+00 6.303277836111426113e-02 2.233460693086716908e+00
1.475788069998323238e+00 1.511794444676275162e-01 1.884845449372667847e+00
1.378310932028148361e+00 1.092697080677817317e-01 1.675632074781528091e+00
1.554075010251489974e+00 2.048482756682052097e-01 1.812780264125731122e+00
1.445386239253049654e+00 2.364397945823216163e-01 1.349156927569739040e+00
1.531443861971565346e+00 1.520755979747646230e-02 2.497817344970867826e+00
1.838713315606231413e+00 5.843722726478406404e-01 1.299635854168257332e+00
1.125795357803828223e+00 8.096956491484286200e-03 3.137439762676323518e+00
1.033737618298803618e+00 1.713524032909944858e-02 2.957373423846176852e+00
1.919521020000718003e+00 1.255677340066690295e+00 8.017981437401759948e-01
1.736825337613267850e+00 1.934725902768555938e-01 1.446623954407792789e+00
1.889197083657505383e+00 1.353393107353687008e-01 1.799671588333192185e+00
1.893325470471430849e+00 1.269485727686831211e+00 7.047073637742047314e-01
1.563211079372981427e+00 3.793268984422606960e-01 1.289077126357479841e+00
1.305969593246752769e+00 8.925053644155822585e-02 2.048498550221113046e+00
1.399303870664282634e+00 4.120162979793347280e-02 2.621841263349279139e+00
1.116258388847195304e+00 9.991035886629751062e-02 2.098083441807690797e+00
1.952614065569830304e+00 2.077436584265602848e-01 1.590637154436253864e+00
1.486529884609801178e+00 1.548906462671547912e-01 1.695280303874145744e+00
1.682699720322504255e+00 4.685694983955705772e-02 1.992145412913750802e+00
1.406575559311368018e+00 1.143793017886900881e-02 2.168663086662881323e+00
1.487758224021562548e+00 2.610437309784657822e-01 1.460409717350755976e+00
1.250474245945792928e+00 1.174161735098899761e-01 1.888974383241977417e+00
1.429808037435619461e+00 1.244324226451664489e-01 1.812198322851622079e+00
1.687558889593406830e+00 3.901483897812679791e-01 1.364089713839224283e+00
1.214057586844589753e+00 1.804816528401089262e-02 2.623671175508101250e+00
2.394767460132221970e+00 2.840167791059535762e+00 5.566646283610455770e-01
1.295251560816539360e+00 5.876262788633979106e-02 2.067835800594790996e+00
1.229278644809341792e+00 5.849662226726105169e-02 2.312295254616182127e+00
1.794378123305497397e+00 9.323005213293920068e-01 9.251238027816055531e-01
1.342577257713923888e+00 2.895727830038185568e-01 1.671969542586198898e+00
1.773498140100639997e+00 6.193581252123940839e-01 1.103988415324621775e+00
1.475596633903701882e+00 9.094759543630048793e-01 8.057679941063183859e-01
1.731377970382379505e+00 3.902534023618717263e-02 2.270203912592811957e+00
1.905529525280013070e+00 8.090019690411887066e-01 1.007906165261140741e+00
1.479470599160531252e+00 8.919016505398444372e-02 1.982237527909064934e+00
1.109002646238036682e+00 2.321219374974790167e-03 3.029514025126068155e+00
1.615279095364021922e+00 2.116468179879327227e-01 1.647534459450160860e+00
1.567023770113060266e+00 3.871434591515576784e-01 1.276311418343684778e+00
1.422759240948797466e+00 1.304536679703605373e-01 2.176470331118876000e+00
1.549925145405971705e+00 5.214043100194403202e-01 1.109153626952096738e+00
1.533714633298523200e+00 5.022378060545971967e-02 2.234599317324742707e+00
1.226103584720157791e+00 1.227032504029881496e-02 2.952661480421698403e+00
1.378730508541369471e+00 1.512067806345800958e-01 1.669287258885037151e+00
1.337024700858165493e+00 1.043447072636344286e-02 2.659223325067604282e+00
1.408966151121107124e+00 3.471207931086886522e-02 2.247812284133418270e+00
1.517976945075057982e+00 5.195912129285700648e-02 1.937577068177789519e+00
1.295251560816539360e+00 5.876262788633979106e-02 2.067835800594790996e+00
1.522209503887434145e+00 7.788291645055033241e-01 8.480036158719370665e-01
1.342153963744731060e+00 6.001075012843047618e-02 1.921330387409118101e+00
1.824091718343141988e+00 1.652757200387603431e-01 1.611275827063122001e+00
1.545198353884513764e+00 1.776946970594427133e-01 1.617609755739855437e+00
1.580282189706081697e+00 2.614562990147247801e-01 1.535905529767900068e+00
1.868133843780815040e+00 6.319029452470270591e-01 1.139704934586511786e+00
1.182716960064448264e+00 2.859643032287718933e-02 2.589023212759143711e+00
1.482162358345454400e+00 1.744480710257627631e-01 1.528765713185201491e+00
1.188077447781525242e+00 8.264217338595308826e-02 2.230441617000217924e+00
1.720746479940965301e+00 2.186062046348246635e-01 1.590363458339185021e+00
1.521214755434561416e+00 4.909677135470789933e-02 2.087052267386744209e+00
1.503483292892191292e+00 7.090680079918780798e-01 1.038351414124308647e+00
1.792587724611107713e+00 7.474094501068538898e-01 9.310082302751387928e-01
