logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.378119164033914421e+04 -5.378718435462583875e+04 7.499999999999999722e-02
-5.378718435462583875e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.485827780423214426e+04 -4.486427301851883385e+04 1.860000000000000098e+00
-4.486427301851883385e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.191114057840418900e+04 -3.191713829269088092e+04 1.580000000000000071e+00
-3.191713829269088092e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -3.041911840880963791e+04 -3.042511862309632852e+04 1.290000000000000036e+00
-3.042511862309632852e+04 8.093829240828870752e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -2.842336779008641679e+04 -2.842937050437310972e+04 1.584999999999999964e+00
-2.842937050437310972e+04 7.824605574957387034e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -2.553428973015763040e+04 -2.554029494444432203e+04 3.750000000000000000e-01
-2.554029494444432203e+04 8.677226840979050394e+03 -1.500000000000000118e-02 4.000000000000000000e+02 -1.893419878850195892e+04 -1.894020650278864923e+04 5.849999999999999645e-01
-1.894020650278864923e+04 2.460595222461905905e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -1.624159378773483149e+04 -1.624760400202152232e+04 5.200000000000000178e-01
-1.624760400202152232e+04 2.611406165159026841e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -1.591384199133088623e+04 -1.591985470561757757e+04 1.939999999999999947e+00
-1.591985470561757757e+04 8.269025471149229816e+02 -2.249999999999999917e-02 4.000000000000000000e+02 -1.566926887842654651e+04 -1.567528409271323835e+04 1.719999999999999973e+00
-1.567528409271323835e+04 8.730133875618266757e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -1.560394405181790353e+04 -1.560996176610459406e+04 1.199999999999999956e-01
-1.560996176610459406e+04 9.035280550521548548e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -1.512493184427930282e+04 -1.513095205856599387e+04 5.899999999999999689e-01
-1.513095205856599387e+04 1.053927310001978185e+03 -2.999999999999999542e-02 4.000000000000000000e+02 -1.491987729289544404e+04 -1.492590000718213560e+04 1.439999999999999947e+00
-1.492590000718213560e+04 3.574095644199723552e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -1.483109676505282005e+04 -1.483712197933951211e+04 1.635000000000000009e+00
-1.483712197933951211e+04 1.044615772669630474e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -1.443537553968351858e+04 -1.444140325397020933e+04 1.485000000000000098e+00
-1.444140325397020933e+04 2.692510818949991176e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -1.443191293592297370e+04 -1.443794315020966496e+04 4.299999999999999933e-01
-1.443791220741314100e+04 2.842639275019228648e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -1.382251146655026059e+04 -1.382854418083695236e+04 8.800000000000000044e-01
-1.382854418083695236e+04 4.074636550561825743e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -1.345282351209652370e+04 -1.345885872638321416e+04 5.999999999999999778e-01
-1.345885872638321416e+04 3.582526027301669842e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -1.289658043670053848e+04 -1.290261815098722946e+04 1.014999999999999902e+00
-1.290261815098722946e+04 4.895100400253093653e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -1.286574037484335349e+04 -1.287178058913004497e+04 1.844999999999999973e+00
-1.287178058913004497e+04 2.642317093920069624e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -1.278913351306025470e+04 -1.279517622734694669e+04 1.745000000000000107e+00
-1.279517622734694669e+04 3.778329553272873653e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -1.265435039760573818e+04 -1.266039561189242886e+04 9.100000000000000311e-01
-1.266039561189242886e+04 5.862490895634292798e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -1.256882297999083494e+04 -1.257487069427752613e+04 8.950000000000000178e-01
-1.257487069427752613e+04 3.142724732820239808e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.224058048328509176e+04 -1.224663069757178346e+04 4.749999999999999778e-01
-1.224663069757178346e+04 1.422781059802155426e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -1.216374604796847962e+04 -1.216979876225517182e+04 4.899999999999999911e-01
-1.216979876225517182e+04 1.674202932078393076e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -1.196304443060509402e+04 -1.196909964489178492e+04 1.189999999999999947e+00
-1.196909964489178492e+04 1.839644241426885287e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -1.192842639759264966e+04 -1.193448411187934107e+04 1.409999999999999920e+00
-1.193448411187934107e+04 1.143842542619204750e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -1.184955292418817589e+04 -1.185561313847486781e+04 1.120000000000000107e+00
-1.185561313847486781e+04 4.249916222076748085e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -1.171437597332825317e+04 -1.172043868761494377e+04 1.550000000000000044e+00
-1.172043868761494377e+04 8.158037525210853858e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.161454554966215619e+04 -1.162061076394884731e+04 5.500000000000000444e-01
-1.162061076394884731e+04 7.038558939232949285e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -1.160253459573397959e+04 -1.160860231002067121e+04 5.600000000000000533e-01
-1.160860230392820085e+04 3.062258737622394733e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.159584008568067293e+04 -1.160191029996736506e+04 1.400000000000000133e-01
-1.160190905994273635e+04 3.245664052594180760e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -1.149522985755506488e+04 -1.150130257184175571e+04 1.850000000000000089e+00
-1.150130257184175571e+04 5.257177408213873093e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -1.138973339958754696e+04 -1.139580861387423829e+04 1.770000000000000018e+00
-1.139580861387423829e+04 8.479324879780044455e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -1.124276947035159901e+04 -1.124884718463829086e+04 3.900000000000000133e-01
-1.124884718463829086e+04 1.336504766567973093e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -1.116543228053176790e+04 -1.117151249481845844e+04 3.750000000000000000e-01
-1.117151249481845844e+04 1.683324331646481369e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -1.110420153256567210e+04 -1.111028424685236314e+04 5.450000000000000400e-01
-1.111028424685236314e+04 1.487842217564349028e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -1.104374582769053450e+04 -1.104983104197722605e+04 9.699999999999999734e-01
-1.104983104197722605e+04 3.876174338487147963e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.100141502648433561e+04 -1.100750274077102767e+04 1.669999999999999929e+00
-1.100750274077102767e+04 2.990638422635445082e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -1.093160381982002764e+04 -1.093769403410671839e+04 7.299999999999999822e-01
-1.093769403410671839e+04 5.189636112257291956e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -1.091585210616926270e+04 -1.092194482045595396e+04 1.495000000000000107e+00
-1.092194482031134248e+04 4.842023296591597692e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.090999225052925613e+04 -1.091608746481594790e+04 2.000000000000000111e-01
-1.091608461010073916e+04 6.639902809623097646e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -1.088016959247224986e+04 -1.088626730675894032e+04 1.100000000000000006e-01
-1.088626730675894032e+04 1.918455694648143961e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.080895807056643935e+04 -1.081505828485313032e+04 4.349999999999999978e-01
-1.081505828485313032e+04 4.329201215868636865e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.076249771140936718e+04 -1.076860042569605866e+04 2.849999999999999756e-01
-1.076860042569605866e+04 5.622249958305669537e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.074471284338331134e+04 -1.075081805767000333e+04 1.560000000000000053e+00
-1.075081805765107129e+04 4.846560155437313711e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.062449518674361389e+04 -1.063060290103030457e+04 1.679999999999999938e+00
-1.063060290103030457e+04 7.925942082525763510e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.059892550180979924e+04 -1.060503571609649043e+04 1.794999999999999929e+00
-1.060503571609648316e+04 6.516586952145112832e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.059005175773382325e+04 -1.059616447202051495e+04 8.999999999999999667e-02
-1.059616433166251409e+04 9.123370398534508041e+00 -1.225000000000000672e-01 4.000000000000000000e+02 -1.058796357418843581e+04 -1.059407878847512802e+04 4.550000000000000155e-01
-1.059396168156448948e+04 1.375875343106763626e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -1.058476524204533234e+04 -1.059088295633202324e+04 1.245000000000000107e+00
-1.059083796587152028e+04 2.131205947579605464e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -1.057455653017262739e+04 -1.058067674445931880e+04 6.500000000000000222e-01
-1.058067670582002211e+04 3.750426237971780985e+00 -1.300000000000000600e-01 4.000000000000000000e+02 -1.050244786839497465e+04 -1.050857058268166656e+04 1.205000000000000071e+00
-1.050857058268166656e+04 3.395244084617957014e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -1.047793466077984340e+04 -1.048405987506653400e+04 1.165000000000000036e+00
-1.048405987506651218e+04 2.696326711339612103e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -1.046143195207823010e+04 -1.046755966636492121e+04 4.299999999999999933e-01
