weight logl apec1.kT apec1.Abundanc apec1.norm
0.000000000000000000e+00 -5.378119164033914421e+04 1.368835592516042254e+00 4.791227175261462357e+00 9.804862916395823902e+01
0.000000000000000000e+00 -4.485827780423214426e+04 1.396079146789290348e+00 4.455565050231867552e+00 8.959643098469238964e+01
0.000000000000000000e+00 -3.191114057840418900e+04 9.361157011957408347e-01 3.183586106414391104e+00 5.908956100245750775e+01
0.000000000000000000e+00 -3.041911840880963791e+04 1.340983008197023318e+00 2.270355055464750027e+00 1.053948064863474343e+02
0.000000000000000000e+00 -2.842336779008641679e+04 1.076058623406388914e+00 2.369858135723061476e+00 7.270415080061042090e+01
0.000000000000000000e+00 -2.553428973015763040e+04 2.028193243358447972e+00 4.442456719199760151e+00 8.272359549149054203e+01
0.000000000000000000e+00 -1.893419878850195892e+04 1.524159901011929108e+00 3.532300838241384078e+00 5.274830697566656568e+01
0.000000000000000000e+00 -1.624159378773483149e+04 1.089736008779988108e+00 8.975318481907945678e-01 9.825797702333234440e+01
0.000000000000000000e+00 -1.591384199133088623e+04 2.197716431403041071e+00 3.297819714068989772e+00 7.152908838403878633e+01
0.000000000000000000e+00 -1.566926887842654651e+04 9.775356002386915932e+00 4.333546733673404816e+00 9.952169447661685808e+01
0.000000000000000000e+00 -1.560394405181790353e+04 1.107493013815040861e+01 4.375123609196680974e+00 1.018440751374127586e+02
0.000000000000000000e+00 -1.512493184427930282e+04 7.956319898603832819e+00 2.816788124457982878e+00 1.095995259231902423e+02
0.000000000000000000e+00 -1.491987729289544404e+04 1.376385361976964816e+01 4.051936358003048966e+00 1.063788169256343252e+02
0.000000000000000000e+00 -1.483109676505282005e+04 2.097280033552086920e+00 4.938885287319028983e+00 4.641993330999470402e+01
0.000000000000000000e+00 -1.443537553968351858e+04 3.238813577317488424e+00 2.948022247996753720e+00 8.457785327097776928e+01
0.000000000000000000e+00 -1.443191293592297370e+04 7.486005452219368195e+00 2.860286713911109224e+00 1.030534583342335111e+02
0.000000000000000000e+00 -1.382251146655026059e+04 3.123507695925679339e+00 4.344213984001974005e+00 6.230366762923754465e+01
0.000000000000000000e+00 -1.345282351209652370e+04 2.387189970298428321e+01 4.852701260808868433e+00 1.008284305203577844e+02
0.000000000000000000e+00 -1.289658043670053848e+04 4.888695408930488817e+00 4.444559405715397205e+00 6.795667903780571351e+01
0.000000000000000000e+00 -1.286574037484335349e+04 1.761215121235304082e+01 2.752783825999765455e+00 1.092889857925034107e+02
0.000000000000000000e+00 -1.278913351306025470e+04 3.112219389322549290e+01 4.572608875506900539e+00 1.042042459535263532e+02
0.000000000000000000e+00 -1.265435039760573818e+04 3.684559894759453336e+00 1.358718046582561012e+00 1.098798230612760136e+02
0.000000000000000000e+00 -1.256882297999083494e+04 6.822828990265492166e+00 4.770415758133964346e+00 7.035036026165950318e+01
0.000000000000000000e+00 -1.224058048328509176e+04 5.223890189417917718e+00 3.196068536427133289e+00 7.825184987470649389e+01
0.000000000000000000e+00 -1.216374604796847962e+04 1.382982392197782184e+00 1.899329438252880253e+00 5.210457539730304433e+01
0.000000000000000000e+00 -1.196304443060509402e+04 2.861753349453962092e-01 3.123749697291856364e+00 8.540570729774636050e+01
0.000000000000000000e+00 -1.192842639759264966e+04 2.955929478350018513e+01 3.791168028886200858e+00 1.024378573430383312e+02
0.000000000000000000e+00 -1.184955292418817589e+04 2.817778368099490294e+01 3.295370184993489993e+00 1.050915094433130008e+02
0.000000000000000000e+00 -1.171437597332825317e+04 3.046879239502131043e+01 4.752392203814647331e+00 9.391299152339824730e+01
0.000000000000000000e+00 -1.161454554966215619e+04 2.147024841758850755e+01 4.809700625486341252e+00 8.577918110016489095e+01
0.000000000000000000e+00 -1.160253459573397959e+04 4.319524160139565083e+01 4.767038543948812546e+00 1.012725921643862250e+02
