weight logl apec1.kT apec1.Abundanc apec1.norm
0.000000000000000000e+00 -5.378119164033914421e+04 2.126571434735657906e-02 9.582454350522924269e-01 8.913511742178021890e-01
0.000000000000000000e+00 -4.485827780423214426e+04 2.169144809959511200e-02 8.911130100463735548e-01 8.145130089517489402e-01
0.000000000000000000e+00 -3.191114057840418900e+04 1.450362078378142350e-02 6.367172212828782207e-01 5.371778272950682442e-01
0.000000000000000000e+00 -3.041911840880963791e+04 2.083046331099236426e-02 4.540710110929500054e-01 9.581346044213403523e-01
0.000000000000000000e+00 -2.842336779008641679e+04 1.669050230351276642e-02 4.739716271446122731e-01 6.609468254600947557e-01
0.000000000000000000e+00 -2.553428973015763040e+04 3.156946561067708323e-02 8.884913438399520969e-01 7.520326862862776185e-01
0.000000000000000000e+00 -1.893419878850195892e+04 2.369296007332055698e-02 7.064601676482767934e-01 4.795300634151505870e-01
0.000000000000000000e+00 -1.624159378773483149e+04 1.690423816695818537e-02 1.795063696381589136e-01 8.932543365757485976e-01
0.000000000000000000e+00 -1.591384199133088623e+04 3.421859656524317561e-02 6.595639428137979321e-01 6.502644398548980131e-01
0.000000000000000000e+00 -1.566926887842654651e+04 1.526340167893942557e-01 8.667093467346809188e-01 9.047426770601532109e-01
0.000000000000000000e+00 -1.560394405181790353e+04 1.729424012087512619e-01 8.750247218393361059e-01 9.258552285219341371e-01
0.000000000000000000e+00 -1.512493184427930282e+04 1.242080244187372395e-01 5.633576248915965756e-01 9.963593265744566940e-01
0.000000000000000000e+00 -1.491987729289544404e+04 2.149620830692844375e-01 8.103872716006097487e-01 9.670801538694029365e-01
0.000000000000000000e+00 -1.483109676505282005e+04 3.264908165945878959e-02 9.877770574638058410e-01 4.219993937272246143e-01
0.000000000000000000e+00 -1.443537553968351858e+04 5.048777311722540961e-02 5.896044495993507661e-01 7.688895751907069975e-01
0.000000000000000000e+00 -1.443191293592297370e+04 1.168584424962396673e-01 5.720573427822218671e-01 9.368496212203046847e-01
0.000000000000000000e+00 -1.382251146655026059e+04 4.868589348552443408e-02 8.688427968003947788e-01 5.663969784476140523e-01
0.000000000000000000e+00 -1.345282351209652370e+04 3.729200478651125694e-01 9.705402521617737532e-01 9.166220956396161634e-01
0.000000000000000000e+00 -1.289658043670053848e+04 7.627039956448444791e-02 8.889118811430793965e-01 6.177879912527792783e-01
0.000000000000000000e+00 -1.286574037484335349e+04 2.750992500992787138e-01 5.505567651999531131e-01 9.935362344773037702e-01
0.000000000000000000e+00 -1.278913351306025470e+04 4.862200570887844631e-01 9.145217751013801077e-01 9.473113268502395545e-01
0.000000000000000000e+00 -1.265435039760573818e+04 5.745343003437075602e-02 2.717436093165122024e-01 9.989074823752365218e-01
0.000000000000000000e+00 -1.256882297999083494e+04 1.064950148497545435e-01 9.540831516267928025e-01 6.395487296514500430e-01
0.000000000000000000e+00 -1.224058048328509176e+04 8.150847276875106129e-02 6.392137072854267021e-01 7.113804534064226415e-01
0.000000000000000000e+00 -1.216374604796847962e+04 2.148678572630613459e-02 3.798658876505760507e-01 4.736779581573004050e-01
0.000000000000000000e+00 -1.196304443060509402e+04 4.347032987645271795e-03 6.247499394583713173e-01 7.764155208886032167e-01
0.000000000000000000e+00 -1.192842639759264966e+04 4.617967055803879894e-01 7.582336057772401938e-01 9.312532485730757870e-01
