16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:20 [ultranest] [DEBUG] iteration=0, ncalls=401, logz=-inf, remainder_fraction=100.0000%, Lmin=-62206.86, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=18, ncalls=420, logz=-13783.36, remainder_fraction=100.0000%, Lmin=-13579.04, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=38, ncalls=442, logz=-11807.24, remainder_fraction=100.0000%, Lmin=-11643.29, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=40, ncalls=444, logz=-11638.68, remainder_fraction=100.0000%, Lmin=-11531.93, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=62, ncalls=471, logz=-10364.23, remainder_fraction=100.0000%, Lmin=-10225.04, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=80, ncalls=493, logz=-9781.69, remainder_fraction=100.0000%, Lmin=-9774.28, Lmax=-164.58
16:01:20 [ultranest] [DEBUG] iteration=94, ncalls=511, logz=-9518.85, remainder_fraction=100.0000%, Lmin=-9484.81, Lmax=-164.58
16:01:21 [ultranest] [DEBUG] iteration=116, ncalls=536, logz=-8963.70, remainder_fraction=100.0000%, Lmin=-8932.34, Lmax=-164.58
16:01:21 [ultranest] [DEBUG] iteration=120, ncalls=540, logz=-8922.31, remainder_fraction=100.0000%, Lmin=-8889.23, Lmax=-164.58
16:01:21 [ultranest] [DEBUG] iteration=139, ncalls=567, logz=-8322.51, remainder_fraction=100.0000%, Lmin=-8316.16, Lmax=-164.58
16:01:21 [ultranest] [DEBUG] iteration=160, ncalls=592, logz=-8020.68, remainder_fraction=100.0000%, Lmin=-8005.85, Lmax=-158.73
16:01:21 [ultranest] [DEBUG] iteration=180, ncalls=616, logz=-7744.44, remainder_fraction=100.0000%, Lmin=-7704.67, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=200, ncalls=639, logz=-7245.78, remainder_fraction=100.0000%, Lmin=-7233.02, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=216, ncalls=667, logz=-6959.01, remainder_fraction=100.0000%, Lmin=-6942.89, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=234, ncalls=692, logz=-6755.54, remainder_fraction=100.0000%, Lmin=-6741.32, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=240, ncalls=701, logz=-6681.63, remainder_fraction=100.0000%, Lmin=-6645.72, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=264, ncalls=727, logz=-6329.79, remainder_fraction=100.0000%, Lmin=-6317.64, Lmax=-157.45
16:01:21 [ultranest] [DEBUG] iteration=280, ncalls=747, logz=-5940.85, remainder_fraction=100.0000%, Lmin=-5934.16, Lmax=-157.45
16:01:22 [ultranest] [DEBUG] iteration=296, ncalls=770, logz=-5778.02, remainder_fraction=100.0000%, Lmin=-5744.37, Lmax=-157.45
16:01:22 [ultranest] [DEBUG] iteration=318, ncalls=796, logz=-5498.19, remainder_fraction=100.0000%, Lmin=-5463.82, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=320, ncalls=800, logz=-5452.52, remainder_fraction=100.0000%, Lmin=-5444.17, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=339, ncalls=829, logz=-5197.79, remainder_fraction=100.0000%, Lmin=-5187.44, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=357, ncalls=853, logz=-5019.50, remainder_fraction=100.0000%, Lmin=-5006.72, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=360, ncalls=859, logz=-4995.83, remainder_fraction=100.0000%, Lmin=-4985.20, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=367, ncalls=869, logz=-4939.16, remainder_fraction=100.0000%, Lmin=-4927.47, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=382, ncalls=896, logz=-4675.81, remainder_fraction=100.0000%, Lmin=-4667.33, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=398, ncalls=924, logz=-4463.85, remainder_fraction=100.0000%, Lmin=-4439.11, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=400, ncalls=927, logz=-4427.52, remainder_fraction=100.0000%, Lmin=-4415.87, Lmax=-147.54
16:01:22 [ultranest] [DEBUG] iteration=421, ncalls=956, logz=-4280.23, remainder_fraction=100.0000%, Lmin=-4272.64, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=438, ncalls=984, logz=-4133.48, remainder_fraction=100.0000%, Lmin=-4068.98, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=440, ncalls=988, logz=-4074.64, remainder_fraction=100.0000%, Lmin=-4050.87, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=451, ncalls=1013, logz=-3918.84, remainder_fraction=100.0000%, Lmin=-3899.58, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=467, ncalls=1042, logz=-3751.89, remainder_fraction=100.0000%, Lmin=-3737.93, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=480, ncalls=1062, logz=-3604.39, remainder_fraction=100.0000%, Lmin=-3587.89, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=501, ncalls=1091, logz=-3423.22, remainder_fraction=100.0000%, Lmin=-3411.48, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=520, ncalls=1119, logz=-3337.25, remainder_fraction=100.0000%, Lmin=-3328.37, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=536, ncalls=1148, logz=-3205.85, remainder_fraction=100.0000%, Lmin=-3196.27, Lmax=-147.54
16:01:23 [ultranest] [DEBUG] iteration=551, ncalls=1171, logz=-3057.95, remainder_fraction=100.0000%, Lmin=-3049.23, Lmax=-147.54
